"Name","Location","Code Unit"
"CL_Fueling_Transient_Unknown_L_MAPDelta_DiPi","000e14c4","3dmtable "
"CL_Fueling_Transient_Unknown_X_MAP_RPM","000e14e0","3dmtable "
"CL_Fueling_Transient_Unknown_T_MAP_RPM","000e14fc","3dmtable "
"CL_Fueling_Transient_Unknown_Y_MAP_DiPi","000e1518","3dmtable "
"CL_Fueling_Transient_Unknown_U_MAP_DiPi","000e1534","3dmtable "
"CL_Fueling_Transient_Unknown_ZE_MAP_RPM","000e1550","3dmtable "
"CL_Fueling_Transient_Unknown_ZB_MAP_RPM","000e156c","3dmtable "
"CL_Fueling_Transient_Unknown_ZF_MAP_DiPi","000e1588","3dmtable "
"CL_Fueling_Transient_Unknown_ZC_MAP_DiPi","000e15a4","3dmtable "
"CL_Fueling_Transient_Unknown_B_ECT_DiPi","000e15c0","3dtable "
"CL_Fueling_Transient_Unknown_ZH_ECT_DiPi","000e15d4","3dmtable "
"CL_Fueling_Transient_Unknown_ZI_ECT_DiPi","000e15f0","3dmtable "
"CL_Fueling_Transient_Unknown_ZJ_ECT_DiPi","000e160c","3dmtable "
"CL_Fueling_Transient_Unknown_ZK_ECT_DiPi","000e1628","3dmtable "
"CL_Fueling_Transient_Unknown_ZM_ECT_DiPi","000e1644","3dmtable "
"CL_Fueling_Transient_Unknown_ZN_ECT_DiPi","000e1660","3dmtable "
"CL_Fueling_Target_Comp_A_ECT","000e16c8","3dmtable "
"CL_Fueling_Target_Comp_B_ECT","000e16e4","3dmtable "
"CL_Fueling_Target_Comp_B_Load","000e1700","3dmtable "
"CL_Fueling_Target_Comp_C_Load","000e171c","3dmtable "
"TPS_Related_Fuel_Adder_Activation_Min_Load","000e1968","3dmtable "
"TPS_Related_Fuel_Adder_Activation_Min_Load_B","000e1984","3dmtable "
"Throttle_Tip_In_Enrichment_A","000e19a0","3dmtable "
"Throttle_Tip_In_Enrichment_B","000e19bc","3dmtable "
"Throttle_Tip_In_Enrichment_Comp_B_ECT","000e19d8","3dmtable "
"Throttle_Tip_In_Enrichment_Comp_C_ECT","000e19f4","3dmtable "
"3dmtable_000e1b60_ECT_MAP","000e1b60","3dmtable "
"3dmtable_000e1b7c_ECT_MAP","000e1b7c","3dmtable "
"CL_Fueling_Target_Comp_A_Load","000e1b98","3dmtable "
"GDI_Flow_Rate","000e1bb4","3dtable "
"Ignition_Timing_Post_Start","000e1c18","2dmtable "
"Minimum_Timing","000e1c2c","2dmtable "
"Ignition_Timing_Comp_MAP_Delta_Clutch","000e1cb8","2dmtable "
"Base_Timing_Idle_In-gear_Below","000e1d08","2dmtable "
"Base_Timing_Idle_Neutral","000e1d1c","2dmtable "
"Base_Timing_Idle_Unknown_A","000e1d30","2dmtable "
"Base_Timing_Idle_Unknown_B","000e1d44","2dmtable "
"Timing_Unknown_E1","000e1da8","2dmtable "
"Timing_Unknown_G1","000e1dbc","2dmtable "
"Timing_Unknown_G2","000e1dd0","2dmtable "
"Timing_Unknown_E2","000e1de4","2dmtable "
"Base_Timing_Unknown_C","000e1e34","2dmtable "
"Timing_Compensation_A_ECT","000e1e70","2dmtable "
"Timing_Compensation_B_ECT","000e1e84","2dmtable "
"Timing_Compensation_IAT","000e1ec0","2dmtable "
"2dmtable_Gears_Unknown_1","000e203c","2dmtable "
"2dmtable_Gears_Unknown_1b","000e2050","2dmtable "
"2dmtable_Gears_Unknown_2","000e2064","2dmtable "
"2dmtable_Gears_Unknown_2b","000e2078","2dmtable "
"2dmtable_Gears_Unknown_3","000e208c","2dmtable "
"2dmtable_Gears_Unknown_3b","000e20a0","2dmtable "
"2dmtable_Gears_Unknown_4","000e20b4","2dmtable "
"2dmtable_Gears_Unknown_4b","000e20c8","2dmtable "
"2dmtable_Gears_Unknown_5","000e20dc","2dmtable "
"2dmtable_Gears_Unknown_5b","000e20f0","2dmtable "
"2dmtable_Gears_Unknown_6","000e2104","2dmtable "
"2dmtable_Gears_Unknown_6b","000e2118","2dmtable "
"AFR_Sensor_Atmo_Pressure_Comp","000e21c4","2dmtable "
"Timing_Unknown_A","000e227c","2dmtable "
"Timing_Unknown_D2","000e2290","2dmtable "
"Timing_Unknown_D1","000e22a4","2dmtable "
"Timing_Unknown_B","000e22b8","2dmtable "
"Timing_Unknown_F1","000e22cc","2dmtable "
"Timing_Unknown_H","000e22e0","2dmtable "
"Timing_Unknown_C","000e2418","2dtable "
"Minimum_CFP_Delta_for_Transient_Retard","000e2538","2dtable "
"Knock_Threshold","000e2550","2dtable "
"Base_Timing_Idle_In-gear_Above","000e2590","3dmtable "
"Base_Timing_A2_Low","000e25c8","3dmtable "
"Base_Timing_A1_High","000e25e4","3dmtable "
"Base_Timing_B2_Low","000e2600","3dmtable "
"Base_Timing_B1_High","000e261c","3dmtable "
"Timing_Compensation_IAT_Activation","000e2734","3dmtable "
"Ignition_Timing_Comp_Idle_Target_Out_of_Error_A","000e2750","3dmtable "
"Ignition_Timing_Comp_Idle_Target_In_Error_A","000e276c","3dmtable "
"Ignition_Timing_Comp_Idle_Target_Load_Change_A","000e2788","3dmtable "
"Ignition_Timing_Comp_Idle_Target_In_Error_B","000e27a4","3dmtable "
"Ignition_Timing_Comp_Idle_Target_Load_Change_B","000e27c0","3dmtable "
"Catalyst_Warm_Up_Idle","000e2814","3dmtable "
"Catalyst_Warm_Up_Non-Idle","000e284c","3dmtable "
"Transient_Ignition_Retard_Temp_Comp","000e28bc","3dmtable "
"Transient_Ignition_Retard","000e28d8","3dmtable "
"Timing_Compensation_Per_Cylinder_A","000e2948","3dmtable "
"Timing_Compensation_Per_Cylinder_B","000e2964","3dmtable "
"Timing_Compensation_Per_Cylinder_C","000e2980","3dmtable "
"Timing_Compensation_Per_Cylinder_D","000e299c","3dmtable "
"Timing_Compensation_Per_Cylinder_D2","000e29b8","3dmtable "
"Knock_Correction_Unknown_B","000e29f0","3dmtable "
"Knock_Correction_Unknown_A","000e2a0c","3dmtable "
"Knock_Correction_Advance_Max_A","000e2a28","3dmtable "
"Idle_Speed_Target_A","000e3018","2dmtable "
"Idle_Speed_Target_B","000e302c","2dmtable "
"Idle_Speed_Target_C","000e3040","2dmtable "
"Idle_Speed_Target_D","000e3054","2dmtable "
"Idle_Speed_Target_E","000e3068","2dmtable "
"Idle_Speed_Target_F","000e307c","2dmtable "
"Idle_Speed_Target_G","000e3090","2dmtable "
"Idle_Speed_Target_H","000e30a4","2dmtable "
"Idle_Speed_Target_I","000e30b8","2dmtable "
"Idle_Speed_Target_J","000e30cc","2dmtable "
"Idle_Speed_Target_K","000e30e0","2dmtable "
"Idle_Speed_Target_L","000e30f4","2dmtable "
"Idle_Speed_Stability_Additive_Table","000e311c","2dmtable "
"Desired_Overrun_Mass_Airflow_A_table","000e3550","3dmtable "
"Desired_Overrun_Mass_Airflow_C_table","000e356c","3dmtable "
"Desired_Overrun_Mass_Airflow_B_table","000e3588","3dmtable "
"Idle_Speed_Stability_Table_A","000e35f8","3dmtable "
"Idle_Speed_Stability_Table_B","000e3614","3dmtable "
"MAF_Correction_After_Start_Neutral","000e3784","3dmtable "
"MAF_Correction_After_Start_In_Gear","000e37a0","3dmtable "
"Requested_Torque_Base","000e3998","2dmtable "
"Idle_Throttle_Target_B","000e39e8","2dmtable "
"Idle_Throttle_Target_C","000e39fc","2dmtable "
"Idle_Throttle_Target_For_Airflow","000e3a1c","2dtable "
"Target_Throttle_Plate_Pos_Max_Req_Torque","000e3a7c","3dmtable "
"Requested_Torque_B","000e3b24","3dmtable "
"Idle_Throttle_Target_D","000e3c88","3dtable "
"Knock_Sensor_Calibration","000e4208","2dmtable "
"Coolant_Temp_Sensor_Scaling","000e421c","2dtable "
"Intake_Temp_Sensor_Scaling","000e4228","2dtable "
"MAF_Sensor_Scaling","000e42b8","2dtable "
"Front_Oxygen_Sensor_Scaling_A_table","000e42c4","2dtable "
"Front_Oxygen_Sensor_Scaling_B_table","000e42d0","2dtable "
"Ignition_Dwell","000e42dc","2dmtable "
"Intake_Duty_Correction_AC_Adjust_B","000e46d4","2dmtable "
"Intake_Duty_Correction_AC_Adjust_A","000e46e8","2dmtable "
"Intake_Duty_Correction_BD_Adjust_B","000e46fc","2dmtable "
"Intake_Duty_Correction_BD_Adjust_A","000e4710","2dmtable "
"Intake_Duty_Correction_EF_Adjust","000e4724","2dmtable "
"Intake_Duty_Correction_E_Adjust","000e4738","2dmtable "
"Intake_Duty_Correction_F_Adjust","000e474c","2dmtable "
"Exhaust_Duty_Correction_AC_Adjust_B","000e4760","2dmtable "
"Exhaust_Duty_Correction_AC_Adjust_A","000e4774","2dmtable "
"Exhaust_Duty_Correction_BD_Adjust_B","000e4788","2dmtable "
"Exhaust_Duty_Correction_BD_Adjust_A","000e479c","2dmtable "
"Exhaust_Duty_Correction_EF_Adjust","000e47b0","2dmtable "
"Exhaust_Duty_Correction_E_Adjust","000e47c4","2dmtable "
"Exhaust_Duty_Correction_F_Adjust","000e47d8","2dmtable "
"Intake_Duty_6_2","000e4878","2dmtable "
