name	dataaddr	tableaddr	sizey	sizex	type	category
CL Fueling Transient Unknown ZN	1155e4	bfa68	3	16	3D	Fueling - Transient
TPS Related Fuel Adder Activation Min Load	117934	bfd70	7	7	3D	Miscellaneous - Other
TPS Related Fuel Adder Activation Min Load B	1179d0	bfd8c	7	7	3D	Miscellaneous - Other
GDI Flow Rate	11846c	bffa0	14	6	3D	Fueling - GDI
Ignition Timing Post Start	118f02	bffdc	16		2D	Ignition Timing - Advance
Minimum Timing	118f34	bfff0	8		2D	Ignition Timing - Advance
Ignition Timing Compensation MAP Delta (Clutch Depressed)	118ffc		9		2D	Ignition Timing - Compensation
AFR Sensor Atmospheric Pressure Compensation	11976c		4		2D	Fueling - O2 Sensor #1
Minimum CFP Delta for Transient Retard	11a240	c08e4	8		2D	Ignition Timing - Transient
Ignition Timing Compensation Idle Target Out of Error Range A	11ad6c		2	10	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target In Error Range A	11ada4		9	9	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target Load Change A	11ae00		2	9	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target In Error Range B	11ae60		9	10	3D	Ignition Timing - Compensation
Ignition Timing Compensation Idle Target Load Change B	11aee8		2	9	3D	Ignition Timing - Compensation
Transient Ignition Retard ECT Threshhold	118958		1		2D	Ignition Timing - Transient
Transient Ignition Retard RPM Threshhold	11895c		1		2D	Ignition Timing - Transient
Transient Ignition Retard TPS Angle Threshhold	118960		1		2D	Ignition Timing - Transient
Transient Ignition Retard Engine Load Threshhold	118964		1		2D	Ignition Timing - Transient
Transient Ignition Retard	11b1ac	c0c4c	24	8	3D	Ignition Timing - Transient
Transient Ignition Retard Temperature Compensation	11b0bc		7	16	3D	Ignition Timing - Transient
Desired Overrun Mass Airflow A	11ead8		16	21	3D	Mass Airflow / Engine Load
Desired Overrun Mass Airflow C	11ed88		2	2	3D	Mass Airflow / Engine Load
Desired Overrun Mass Airflow B	11ee24		16	21	3D	Mass Airflow / Engine Load
Intake Cam Advance Angle Normal AVCS	1271f4	c2dd4	27	16	3D	Variable Valve Timing (AVCS)
Intake Cam Advance Angle Safe AVCS	126f98	c2db8	27	16	3D	Variable Valve Timing (AVCS)
Intake Cam Advance Angle Base AVCS	127434	c2df0	24	12	3D	Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Normal AVCS	127a74	c2eb4	27	16	3D	Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Safe AVCS	127668	c2e98	27	16	3D	Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Base AVCS	126da4	c2d64	24	12	3D	Variable Valve Timing (AVCS)
Intake Duty Correction A	1281bc	c2fb0	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction B	1282bc	c2fcc	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction C	1283bc	c2fe8	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction D	1284bc	c3004	10	9	3D	Variable Valve Timing (AVCS)
Intake Duty Correction E	128580	c3020	2	2	3D	Variable Valve Timing (AVCS)
Intake Duty Correction F	128598	c303c	2	2	3D	Variable Valve Timing (AVCS)
Intake Duty Correction AC Adjust A	126164	c2a48	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction AC Adjust B	126114	c2a34	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction BD Adjust A	126204	c2a70	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction BD Adjust B	1261b4	c2a5c	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction EF Adjust	126254	c2a84	16		2D	Variable Valve Timing (AVCS)
Intake Duty Correction E Adjust	12626c	c2a98	2		2D	Variable Valve Timing (AVCS)
Intake Duty Correction F Adjust	126278	c2aac	2		2D	Variable Valve Timing (AVCS)
Exhaust Duty Correction A	1286a4	c30ac	11	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction B	1287bc	c30c8	11	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction C	1288d4	c30e4	11	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction D	1289ec	c3100	11	9	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction E	128634	c3074	2	2	3D	Variable Valve Timing (AVCS)
Exhaust Duty Correction F	12864c	c3090	2	2	3D	Variable Valve Timing (AVCS)
