name,data,table,sizey,sizex,type,type2,category
Rev Limit Fuel Resume (MP),1120dc,1120dc,1,,2D,synth2D,Miscellaneous - Limits
Speed Limiting Enable (Fuel Cut),1120e4,1120e4,1,,2D,synth2D,Miscellaneous - Limits
Speed Limiting Disable (Fuel Cut),1120e0,1120e0,1,,2D,synth2D,Miscellaneous - Limits
Speed Limiting A (Throttle) SI-DRIVE Sport/Sport Sharp,13c344,13c344,2,,2D,synth2D,Miscellaneous - Limits
Speed Limiting B (Throttle) SI-DRIVE Sport/Sport Sharp,13c350,13c350,2,,2D,synth2D,Miscellaneous - Limits
Speed Limiting A (Throttle) SI-DRIVE Intelligent,13c35c,13c35c,2,,2D,synth2D,Miscellaneous - Limits
Speed Limiting B (Throttle) SI-DRIVE Intelligent,13c368,13c368,2,,2D,synth2D,Miscellaneous - Limits
Intake Temp Sensor Scaling,126984,e297c,30,,2D,2D,Miscellaneous - Sensor Scalings
Coolant Temp Sensor Scaling,12689c,e2970,28,,2D,2D,Miscellaneous - Sensor Scalings
Radiator Fan Modes A (ECT),125278,125278,4,,2D,synth2D,Miscellaneous - Thresholds
Radiator Fan Modes B (ECT),125288,125288,4,,2D,synth2D,Miscellaneous - Thresholds
Radiator Fan Modes (Veh. Speed),125298,125298,6,,2D,synth2D,Miscellaneous - Thresholds
Gear Determination Thresholds A,104a18,104a18,5,,2D,synth2D,Miscellaneous - Thresholds
Gear Determination Thresholds B,104a2c,104a2c,5,,2D,synth2D,Miscellaneous - Thresholds
Idle Speed Target A,120f60,e176c,16,,2D,2D,Idle Control
Idle Speed Target B,120f80,e1780,16,,2D,2D,Idle Control
Idle Speed Target C,120fa0,e1794,16,,2D,2D,Idle Control
Idle Speed Target D,120fc0,e17a8,16,,2D,2D,Idle Control
Idle Speed Target E,120fe0,e17bc,16,,2D,2D,Idle Control
Idle Speed Target F,121000,e17d0,16,,2D,2D,Idle Control
Idle Speed Target G,121020,e17e4,16,,2D,2D,Idle Control
Idle Speed Target H,121080,e17f8,16,,2D,2D,Idle Control
Idle Speed Target I,1210e0,e180c,16,,2D,2D,Idle Control
Idle Speed Target J,121140,e1820,16,,2D,2D,Idle Control
Idle Speed Target K,1211a0,e1834,16,,2D,2D,Idle Control
Idle Speed Target L,121200,e1848,16,,2D,2D,Idle Control
Idle Speed Stability A,1228e4,e1d4c,11,16,3D,3D,Idle Control
Idle Speed Stability B,122ab0,e1d68,11,16,3D,3D,Idle Control
Idle Speed Stability Additive,12125c,e1870,6,,2D,2D,Idle Control
Ignition Dwell,1270a8,e2a30,5,16,3D,3D,Miscellaneous - Sensor Scalings
AFR Sensor Heater Duty Cycle A,100770,dae5c,4,,2D,2D,Fueling - O2 Sensor #1
AFR Sensor Heater Duty Cycle B,100788,dae70,4,,2D,2D,Fueling - O2 Sensor #1
Fuel Multiplier Display Offset,10272c,db16c,5,,2D,2D,Miscellaneous - Other
Calculated Torque A,102c44,db244,23,13,3D,3D,Drive-by-Wire Throttle (DBW)
Calculated Torque B,102f24,db260,23,11,3D,3D,Drive-by-Wire Throttle (DBW)
Post Cranking Airflow Initial Reference Coolant,104c28,db8cc,16,,2D,2D,Fueling - Cranking
Post Cranking Load Initial Reference Coolant,104d30,db930,16,,2D,2D,Fueling - Cranking
Cylinder Fill Percentage,1080ec,dc14c,22,16,3D,3D,Mass Airflow / Engine Load
Solenoid Control,108acc,dc3f0,5,7,3D,3D,CPC Solenoid
Solenoid Duty,108b7c,dc40c,13,13,3D,3D,CPC Solenoid
Misfire Count MAP Threshold A,10a3a6,dc484,13,,2D,2D,Miscellaneous - Thresholds
Misfire Count MAP Threshold B,10a3b3,dc498,13,,2D,2D,Miscellaneous - Thresholds
Misfire DTC Threshold,10cd20,dd390,19,14,3D,3D,Miscellaneous - Thresholds
AFR Minimum Correction,112bb8,ddf78,9,,2D,2D,Alpha - BRZ
AFR Maximum Correction,112be8,ddf8c,9,,2D,2D,Alpha - BRZ
Port Injection MRP Compensation,114e74,defd8,8,,2D,2D,Fueling - Port Injectors
Direct Injection Quantity Maximum,114ec4,defe4,12,,2D,2D,Fueling - GDI
Direct Injection Quantity Minimum,114f0c,deff0,6,,2D,2D,Fueling - GDI
GDI Firing Angle Cold Idle,115ce8,df234,2,2,3D,3D,Fueling - GDI
GDI Firing Angle High Load Cold,115d5c,df250,17,11,3D,3D,Fueling - GDI
GDI Firing Angle High Load Hot,115e28,df26c,2,2,3D,3D,Fueling - GDI
GDI Firing Angle Low Load Cold,115e3c,df288,2,2,3D,3D,Fueling - GDI
GDI Firing Angle Low Load Hot,115e50,df2a4,2,2,3D,3D,Fueling - GDI
GDI Pressure Multiplier A,115ea4,df2c0,10,10,3D,3D,Fueling - GDI
GDI Pressure Target A,115f48,df2f8,2,2,3D,3D,Fueling - GDI
GDI Pressure Target B,117a2c,df87c,17,15,3D,3D,Fueling - GDI
Total Injection Ratio Port Cold,1161c0,df3bc,2,2,3D,3D,Fueling - Injector Ratio
Total Injection Ratio Port Hot,1161d4,df3d8,2,2,3D,3D,Fueling - Injector Ratio
Total Injection Ratio Port Warm,1160c0,df3a0,20,12,3D,3D,Fueling - Injector Ratio
PI Ratio ECT Compensation (Additive),112a74,ddeb8,2,,2D,2D,Fueling - Injector Ratio
PI Ratio ECT Compensation (Load),116254,df448,6,16,3D,3D,Fueling - Injector Ratio
PI Ratio ECT Compensation,116378,df480,3,16,3D,3D,Fueling - Injector Ratio
PI Ratio ECT Unknown,114f54,df008,16,,2D,2D,Fueling - Injector Ratio
ECT Unknown,11411a,deb68,16,,2D,2D,Fueling - Injector Ratio
ECT Unknown B,10bf74,dd024,2,,2D,2D,Fueling - Injector Ratio
Primary Open Loop Fueling Additive A,116a4c,df5a4,23,13,3D,3D,Fueling - Primary Open Loop
Primary Open Loop Fueling Additive B,116c08,df5c0,23,13,3D,3D,Fueling - Primary Open Loop
GDI Pressure Multiplier B,1178e4,df860,10,10,3D,3D,Fueling - GDI
Input A Rising Load Activation ECT Load 1,118170,dfaa4,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 2,1181d0,dfac0,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 3,118230,dfadc,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 4,11829c,dfaf8,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 5,118308,dfb14,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 6,118368,dfb30,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 7,1183c8,dfb4c,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 8,118428,dfb68,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 9,118494,dfb84,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 10,1184f4,dfba0,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 11,118560,dfbbc,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 12,1185c0,dfbd8,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 13,11862c,dfbf4,3,16,3D,3D,Fueling - Transient
Input A Rising Load Activation ECT Load 14,11868c,dfc10,3,16,3D,3D,Fueling - Transient
TPS Related Fuel Adder Activation Min Load,11b51c,e0148,7,7,3D,3D,Miscellaneous - Other
GDI Flow Rate,11bf30,e0308,14,6,3D,3D,Fueling - GDI
Ignition Timing Post Start,11ca16,e036c,16,,2D,2D,Ignition Timing - Advance
Minimum Timing,11ca48,e0380,8,,2D,2D,Ignition Timing - Advance
Ignition Timing Compensation MAP Delta (Clutch Depressed),11cb10,e040c,9,,2D,2D,Ignition Timing - Compensation
AFR Sensor Atmospheric Pressure Compensation,11d280,e0918,4,,2D,2D,Fueling - O2 Sensor #1
Minimum CFP Delta for Transient Retard,11ddb4,e0c8c,8,,2D,2D,Ignition Timing - Transient
Ignition Timing Compensation Idle Target Out of Error Range A,11e8e0,e0ea4,2,10,3D,3D,Ignition Timing - Compensation
Ignition Timing Compensation Idle Target In Error Range A,11e918,e0ec0,9,9,3D,3D,Ignition Timing - Compensation
Ignition Timing Compensation Idle Target Load Change A,11e974,e0edc,2,9,3D,3D,Ignition Timing - Compensation
Ignition Timing Compensation Idle Target In Error Range B,11e9d4,e0ef8,9,10,3D,3D,Ignition Timing - Compensation
Ignition Timing Compensation Idle Target Load Change B,11ea5c,e0f14,2,9,3D,3D,Ignition Timing - Compensation
Transient Ignition Retard ECT Threshhold,11c464,11c464,1,,2D,synth2D,Ignition Timing - Transient
Transient Ignition Retard RPM Threshhold,11c468,11c468,1,,2D,synth2D,Ignition Timing - Transient
Transient Ignition Retard TPS Angle Threshhold,11c46c,11c46c,1,,2D,synth2D,Ignition Timing - Transient
Transient Ignition Retard Engine Load Threshhold,11c470,11c470,1,,2D,synth2D,Ignition Timing - Transient
Transient Ignition Retard,11edd0,e102c,24,8,3D,3D,Ignition Timing - Transient
Transient Ignition Retard Temperature Compensation,11ece0,e1010,7,16,3D,3D,Ignition Timing - Transient
Desired Overrun Mass Airflow A,1221e4,e1ca4,16,21,3D,3D,Mass Airflow / Engine Load
Desired Overrun Mass Airflow C,122494,e1cc0,2,2,3D,3D,Mass Airflow / Engine Load
Desired Overrun Mass Airflow B,122530,e1cdc,16,21,3D,3D,Mass Airflow / Engine Load
Intake Cam Advance Angle Normal AVCS,12a9a4,e31c8,27,16,3D,3D,Variable Valve Timing (AVCS)
Intake Cam Advance Angle Safe AVCS,12a748,e31ac,27,16,3D,3D,Variable Valve Timing (AVCS)
Intake Cam Advance Angle Base AVCS,12abe4,e31e4,24,12,3D,3D,Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Normal AVCS,12b224,e32a8,27,16,3D,3D,Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Safe AVCS,12ae18,e328c,27,16,3D,3D,Variable Valve Timing (AVCS)
Exhaust Cam Retard Angle Base AVCS,12a554,e3158,24,12,3D,3D,Variable Valve Timing (AVCS)
Intake Duty Correction A,12b96c,e33a4,10,9,3D,3D,Variable Valve Timing (AVCS)
Intake Duty Correction B,12ba6c,e33c0,10,9,3D,3D,Variable Valve Timing (AVCS)
Intake Duty Correction C,12bb6c,e33dc,10,9,3D,3D,Variable Valve Timing (AVCS)
Intake Duty Correction D,12bc6c,e33f8,10,9,3D,3D,Variable Valve Timing (AVCS)
Intake Duty Correction E,12bd30,e3414,2,2,3D,3D,Variable Valve Timing (AVCS)
Intake Duty Correction F,12bd48,e3430,2,2,3D,3D,Variable Valve Timing (AVCS)
